Movie ID,Title,Genres,Predicted Rating
2974,Bats (1999),Horror|Thriller,3.32
3042,Meatballs III (1987),Comedy,3.33
1595,Free Willy 3: The Rescue (1997),Adventure|Children's|Drama,3.33
2643,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,3.33
2799,Problem Child 2 (1991),Comedy,3.33
3593,Battlefield Earth (2000),Action|Sci-Fi,3.34
1599,Steel (1997),Action,3.34
2368,King Kong Lives (1986),Action|Adventure|Horror,3.34
2555,Baby Geniuses (1999),Comedy,3.34
193,Showgirls (1995),Drama,3.34
2380,Police Academy 3: Back in Training (1986),Comedy,3.34
3877,Supergirl (1984),Action|Adventure|Fantasy,3.35
1839,My Giant (1998),Comedy,3.35
2798,Problem Child (1990),Comedy,3.35
2515,Children of the Corn II: The Final Sacrifice (1993),Horror,3.35
502,"Next Karate Kid, The (1994)",Action|Children's,3.35
3945,Digimon: The Movie (2000),Adventure|Animation|Children's,3.35
1996,Poltergeist III (1988),Horror|Thriller,3.35
1495,Turbo: A Power Rangers Movie (1997),Action|Adventure|Children's,3.35
810,Kazaam (1996),Children's|Comedy|Fantasy,3.36
